Small Unit Installation Postcode,Average Installation Size for Postcode (kW),Installations Quantity Total,SGU Rated Output In kW Total,AVERAGE SU Sizing in the NT (kW)
853,1,2.65,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.49,2,52.97
854,13,159.195,12.2457692307692,0,0,0,2,46.45,0,0,0,0,0,0,0,0,0,0,1,8.88,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,17,234.025
860,120,697.059,5.808825,0,0,0,2,39.44,0,0,0,0,4,21.12,9,83.45,1,6.66,7,66.6,1,9.25,0,0,1,99.9,0,0,1,4.44,0,0,0,0,0,0,0,7.04,146,1027.919
861,21,121.595,5.7902380952381,0,0,0,0,0,0,0,0,0,3,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,24,136.115
862,33,366.59,11.1087878787879,0,0,0,0,0,0,0,1,10.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,34,377.315
871,57,407.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,58,411.82
872,169,1983.577,0,0,5,157.72,11,136.565,11,56.85,3,124.88,3,15.54,1,4.07,5,31.02,2,5.28,2,101.88,2,54.6,2,7.4,0,0,2,36.97,2,63.68,2,52,0,0,0,12.76,222,2832.412
873,132,989.069,1,9,1,6.63,0,0,1,6.66,3,19.98,0,0,0,0,0,0,0,0,1,12.64,2,25.58,6,47.36,0,0,0,0,1,13.14,1,7,0,0,0,7.63,149,1136.719
874,17,134.56,0,0,0,0,0,0,1,6.29,0,0,1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.66,1,6.66,0,0,0,0,0,7.66,21,160.83
875,125,800.596,0,0,4,26.84,0,0,2,14.43,2,13.32,2,13.32,0,0,0,0,4,26.64,5,41.85,1,27.88,5,52.24,0,0,0,0,1,6.66,3,28,0,0,0,6.83,154,1051.956
880,23,239.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,23,239.201
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,12,107.73
885,13,598.6,0,0,0,0,0,0,0,0,0,0,0,0,16,142.08,0,0,0,0,0,0,1,30.96,0,0,0,0,0,0,0,0,0,0,0,0,0,25.72,30,771.64
886,10,151.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,15.61,11,171.69
